127.0.0.1 - - [24/May/2022:12:05:53 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [24/May/2022:12:05:54 -0300] "GET /cadastrarPessoas2/pessoaservlet HTTP/1.1" 200 5841
0:0:0:0:0:0:0:1 - - [24/May/2022:12:05:54 -0300] "GET /cadastrarPessoas2/js.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2022:12:07:58 -0300] "POST /cadastrarPessoas2/pessoaservlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/May/2022:12:08:10 -0300] "GET /cadastrarPessoas2/pessoaservlet HTTP/1.1" 200 5841
0:0:0:0:0:0:0:1 - - [24/May/2022:12:10:03 -0300] "GET /cadastrarPessoas2/pessoaservlet HTTP/1.1" 200 5871
0:0:0:0:0:0:0:1 - - [24/May/2022:12:10:19 -0300] "POST /cadastrarPessoas2/pessoaservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/May/2022:12:10:19 -0300] "GET /cadastrarPessoas2/pessoaservlet HTTP/1.1" 200 6252
0:0:0:0:0:0:0:1 - - [24/May/2022:12:10:24 -0300] "GET /cadastrarPessoas2/alterarCadastro?id=114 HTTP/1.1" 200 6274
0:0:0:0:0:0:0:1 - - [24/May/2022:12:10:26 -0300] "POST /cadastrarPessoas2/pessoaservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/May/2022:12:10:26 -0300] "GET /cadastrarPessoas2/pessoaservlet HTTP/1.1" 200 6252
0:0:0:0:0:0:0:1 - - [24/May/2022:12:10:35 -0300] "GET /cadastrarPessoas2/alterarCadastro?id=114 HTTP/1.1" 200 6274
0:0:0:0:0:0:0:1 - - [24/May/2022:12:10:42 -0300] "POST /cadastrarPessoas2/pessoaservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/May/2022:12:10:42 -0300] "GET /cadastrarPessoas2/pessoaservlet HTTP/1.1" 200 6251
0:0:0:0:0:0:0:1 - - [24/May/2022:12:10:46 -0300] "GET /cadastrarPessoas2/removePessoaServlet?id=114 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/May/2022:12:10:46 -0300] "GET /cadastrarPessoas2/pessoaservlet HTTP/1.1" 200 5871
